ID_Teste;Vacinados_Iniciais;Nao_Vacinados;Infectados;Vac_Ilesos;Vac_Recup;Vac_Mortos;NaoVac_Ilesos;NaoVac_Recup;NaoVac_Mortos
1;20;20;5;19;0;1;14;0;6
2;100;50;5;9;22;69;0;1;49
